artist,title,mood,original_mood,lyrics
Vanessa Carlton,More Than This,2,relaxed,"Cradling stones hold fire bright
As crickets call out to the moonlight
And as you lean in to steal a kiss
I'll never need more than this

We all share the pain of our histories
But the ache goes away if you could see
This night under stars, well I call it peace
If you say I'll never need more than this

And the trees grow so thick you can barely see through
And the forest bestows all the simplest of truths
And you think you'll be happy if granted one more wish
But the truth is
You'll never need more
...

******* This Lyrics is NOT for Commercial use *******"
Riverside,I Turned You Down,3,sad,"I turned you down so hastily
And it's tearing me apart
In my heart of hearts I'm screaming
In my heart of hearts I cry
And it's cold
So cold

I turned you down
Oh, I turned you down so thoughtlessly
And it's tearing me apart
...

******* This Lyrics is NOT for Commercial use *******"
Kathy Mattea,Where've You Been,3,sad,"Claire had all but given up
When she and Edwin fell in love
She touched his face and shook her head
In disbelief she sighed and said
In many dreams I've held you near
Now, at last, you're really here

Where've you been?
I've looked for you forever and a day
Where've you been?
I'm just not myself when you're away

He asked her for her hand for life
And she became a salesman's wife
...

******* This Lyrics is NOT for Commercial use *******"
Enya,Water Shows the Hidden Heart,2,relaxed,"Er-rhee-mo may nay
Say la na or-ro
Pirr rro say a nna
A-he rhay
Pr-ma na so la
Be-o so bay hey
Abr a-ma rhay na
A-he rhay o rhay mr-hee mo-ay

Plu vy a vay la
Neth-ee la rhay na
Beas t'ear rhee ay na
A-he rhay
Kor-rhee-ay a mmay he
Sy-fy ra may-na
Mmer koul a rhay a
A-he rhay o rhay mr-hee mo-ay

In t-'so a llow
...

******* This Lyrics is NOT for Commercial use *******"
Hem,Sailor,2,relaxed,"I'm not a sailor
I'm not so strong out of my shoes
Dragging like anchors

Over the ocean
Pearls in the sky strung 'round the moon
Pointing to you
...

******* This Lyrics is NOT for Commercial use *******"
The Doobie Brothers,It Keeps You Runnin',2,relaxed,"Say, where you gonna go?
Girl, where you gonna hide?
You go on leaving out your heart
And all it's sayin' deep inside
Oh, darlin'

From here I can feel your heartbeat
Oh, you got me all wrong
You ain't got no worry
You just been lonely too long
Oh, I know

I know what it means to hide your heart
...

******* This Lyrics is NOT for Commercial use *******"
Dope,Everything Sucks,0,angry,"If somebody's askin', I've gone away
Yeah somebody's packin and gone today
The summer was lovely and I enjoyed my stay
Maybe I'll be back one day
Sorry to hurry but I'll miss my flight
Don't worry about me I'll be okay
See ya the next time, maybe I'll stop by
Maybe, well I'll try
Hopefully but I guess-

I never cared that much
I never kept in touch
...

******* This Lyrics is NOT for Commercial use *******"
Marilyn Manson,Irresponsible Hate Anthem,0,angry,"When you are suffering
Know that I have betrayed you
And all the children sing
We hate love
We love hate
(We hate love)
(We love hate)
(We hate love)
(We love hate)

I am so all-american, I'd sell you suicide
I am totalitarian, I've got abortions in my eyes
I hate the hater
I'd rape the raper
I am the animal who will not be himself

Fuck it
Fuck it
Fuck it
Fuck it

Hey victim, should I black your eyes again?
Hey victim, you were the one who put the stick in my hand
...

******* This Lyrics is NOT for Commercial use *******"
The Puppini Sisters,Soho Nights,1,happy,"Soho nights were my favourite
They were the nights, so full of flavour
Fun was free, and talk was cheap
Drinks were dirty like the streets!

Soho nights were when you'd find
Those who would seem so out of their minds
Make-believing they were stars
Dragging at criss-crossing bars

Soho, so long! We've had our fun
Soho! So you, not me my love
Soho, so there
So now we're done

You remember when we would play
Life with you was a beautiful game
Soho! So long!
You remember when we would play
Life with you was a beautiful game
Soho! So long!

Soho nights were the times we
...

******* This Lyrics is NOT for Commercial use *******"
Sparta,Echodyne Harmonic,2,relaxed,"They say it takes a ring of gold
to fix the outer shell
so hold on until they return
enslave the native tongue
to mine their freedom out
so hold on and don't give in
...

******* This Lyrics is NOT for Commercial use *******"
The Champs,Tequila,1,happy,"Tequila!
...

******* This Lyrics is NOT for Commercial use *******"
Motorhead,Ace of Spades,0,angry,"If you like to gamble
I tell you, I'm your man
You win some, lose some
It's all the same to me

The pleasure is to play
Makes no difference what you say
I don't share your greed
The only card I need is the ace of spades
The ace of spades

Playing for the high one
Dancing with the devil
...

******* This Lyrics is NOT for Commercial use *******"
Cowboy Junkies,Lay It Down,2,relaxed,"He left his dead in the cottonwood trees
the ground grown too hard with the years
Falling down was not what it used to be
the ground grown too hard with the years

He told his children those little white lies
the truth would only paralyze them
He told himself those little white lies
the truth would only paralyze him

...

******* This Lyrics is NOT for Commercial use *******"
Black Buddafly,Bad Girl ,1,happy,"Guess who (hey, hey)
F to the A-B (hey)
And I'm a bad boy Like Martin and Will Show
u what u been missin' Like da kids on the carton of milk
Hey, I can snatch something bad outta tha hood
And bring 'em back to the pad out by da woods
You know the crew bring the bad outta da good
And I'm usually not layin' in the boozy spots
Girl, we can blow quicker than oozi shots
Chill where da cristal's cold Jacuzzi's hot Ya feel me?

I ain't really the kinda girl That would
say that I'm a bad girl Though I should
So many times I did what I thought was right
But ended up in pain and that's why I'm like
I still believe and I'm hopin'
That I will find real love
But right now is not the time for that
Cuz I'm young and I'm bad and I like that

Oh,
do you feel me now Oh,
dance with me now
Ladies help me out

Ay if you feel me
Move wit me and don't stop
Put your hands up
...

******* This Lyrics is NOT for Commercial use *******"
Level 42,Something About You,1,happy,"Ooh ooh
How, how can it be, that a love
Carved out of caring fashioned by fate
Could suffer so hard?
From the games played much too often
But making mistakes is a part
Of life's imperfections born of the years
Is it so wrong to be human after all

Drawn into the stream
Of undefined illusion
Those diamond dreams
They can't disguise the truth
That there is something about you
...

******* This Lyrics is NOT for Commercial use *******"
Kinks,You Really Got Me,0,angry,"Girl, you really got me goin'
You got me so I don't know what I'm doin' now
Yeah, you really got me now
You got me so I can't sleep at night

Yeah, you really got me now
You got me so I don't know what I'm doin' now
Oh yeah, you really got me now
You got me so I can't sleep at night

You really got me
You really got me
You really got me

...

******* This Lyrics is NOT for Commercial use *******"
Britney Spears,Oops!...I Did It Again,1,happy,"Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah

I think I did it again
I made you believe we're more than just friends
Oh, baby, it might seem like a crush
But it doesn't mean that I'm serious

'Cause to lose all my senses
That is just so typically me
Ooh, baby, baby

Oops, I did it again
I played with your heart
Got lost in the game
Ooh, baby, baby
Oops, you think I'm in love
That I'm sent from above
I'm not that innocent

You see, my problem is this
I'm dreaming away, wishing that heroes, they truly exist
I cry watching the days
...

******* This Lyrics is NOT for Commercial use *******"
The Cure,The Promise,0,angry,"I bring your word before you
today
You will have your way
You said
Never less
we will bow before you
Yes,
We will lift up our hands
Cos in your stead there is healing, there is power

In your stead there is liberty.
You have promised
You have promised
You'll never let go
You'll never let go
Holy spirit
Holy spirit
...

******* This Lyrics is NOT for Commercial use *******"
Diary of Dreams,Tears of Laughter,3,sad,"I would be crying tears of laughter
If I could see me smile again

I still reach for the stars, but all I touch is my horizon
I still believe my eyes, but all I see is my blindness
I still reach for the stars, but all I touch is my horizon
I still believe my ears, but all I hear is lasting silence

Like a disciple of a witness
I judge upon my sacred eye
Still I found the origin
In what's left of me inside

...

******* This Lyrics is NOT for Commercial use *******"
Kate Havnevik,Not Fair,2,relaxed,"He got away with thousands of dollars
He got away from the state police
He got away with emotional murder
He slipped away with the summer breeze (Breeze)

It's not fair
To call it a day
It's not fair
To just walk away
It's not fair
To bring me down
It's not fair
To leave a mess behind

...

******* This Lyrics is NOT for Commercial use *******"
Gwen Stefani,Hollaback Girl,1,happy,"Uh-huh, this my shit
All the girls stomp your feet like this

A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no hollaback girl
I ain't no hollaback girl

A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no hollaback girl
I ain't no hollaback girl

Oooh, this my shit, this my shit
Oooh, this my shit, this my shit
Oooh, this my shit, this my shit
Oooh, this my shit, this my shit

I heard that you were talking shit
And you didn't think that I would hear it
People hear you talking like that
Getting everybody fired up
So I'm ready to attack, gonna lead the pack
Gonna get a touchdown, gonna take you out
That's right, put your pom-poms down
Getting everybody fired up

A few times I've been around that track
So it's not just gonna happen like that
'Cause I ain't no hollaback girl
I ain't no hollaback girl
...

******* This Lyrics is NOT for Commercial use *******"
