artist,title,mood,original_mood,lyrics,word_count,avg_word_length
Hope of the States,Me Ves Y Sufres,3,sad,"Ive got no good in me
For anybody
Ive been ruined by the lies
I told to everybody
Its so desperately sad
That my life has come to this
I hope theres something better
Than this for me

I used to think
I had something to say
But my dumb ideologies
Gave me away
I keep my mouth shut
but its always the same
Over and over and over again

",70,3.742857142857143
Rammstein,Nebel,3,sad,"Sie stehen eng umschlungen
ein Fleischgemisch so reich an Tagen
Wo das Meer das Land berührt
will sie ihm die Wahrheit sagen

Doch ihre Worte frisst der Wind
wo das Meer zu Ende ist
Hält sie zitternd seine Hand
und hat ihn auf die Stirn geküsst

Sie trägt den Abend in der Brust
und weiß dass sie verleben muss
Sie legt den Kopf in seinen Schoß
",66,4.196969696969697
The White Stripes,My Doorbell,1,happy,"Im thinkin about my doorbell
When ya gonna ring it when ya gonna ring it
Yeah Im thinkin about my doorbell
When ya gonna ring it when ya gonna ring it
Yeah Im thinkin about my doorbell
When ya gonna ring it when ya gonna ring it
Yeah I been thinkin about my doorbell
Oh well

Well women and children need kisses
Not the man in my life I know
And I been going to mystery misses
I respect the art of the show
Take back what you said little girl
And while youre at it take yourself back too
Well Im tired of sitting here waiting
Woman whatcha gonna do now whatcha gonna do about it

Im thinkin about my doorbell
When ya gonna ring it when ya gonna ring it
Yeah Im thinkin about my doorbell
When ya gonna ring it when ya gonna ring it oh
Im thinkin about my doorbell
When ya gonna ring it when ya gonna ring it
Yeah I been thinkin about my doorbell
Oh yeah
",173,3.9190751445086707
AC/DC,Down Payment Blues,0,angry,"I know that its evil
I know that its got to be
I know I aint doing much
Doing nothing means a lot to me

Living on a shoe string
A fifty cent millionaire
Open to charity
Rock n roller welfare

Sitting in my Cadillac
Listening to my radio
Suzy baby get on in
Tell me where she want to go

Im living in a nightmare
",66,3.696969696969697
Goldfrapp,Utopia,2,relaxed,"Its a strange day
No colours or shapes
No sound in my head
I forget who I am
When Im with you
Theres no reason
Theres no sense
Im not supposed to feel
I forget who I am
I forget
",40,3.45
Dead Kennedys,Your Emotions,0,angry,"Your mommy told you this and your daddy told you that
Always think like this and never do that
You learned so many feelings but what is there to that
Which are really yours or are you just a copycat

Your school told you this and your church told you that
Memorize this and dont you dare look at that
Theyre all so concerned to make their thoughts into yours
Just a tape recorder mimicking of the bores

",78,4.153846153846154
Jim Brickman,Angel Eyes,2,relaxed,,0,0.0
Sarah Blasko,For You,2,relaxed,"Ive learnt a lot about you
In turn much about me too
I travelled across the sea
I wept for you

Emotions run deep
Between us friend
The time will come
",31,3.838709677419355
Yelle,Je Veux Te Voir (Club-Club Version),1,happy,"Cuizinier avec ton petit sexe entouré de poils roux
Je narrive pas à croire que tu
Puisses croire quon veuille de toi
Je ny crois pas même dans le noir

Même si tu gardes ton pyjama
Même si tu gardes ton beignoir
En forme de tee shirt ringard
Garde ta chemise ça limitera les degats bâtard

Je veux te voir dans un film pornographique
En action avec ta bite
Forme potatoes ou bien frites
Ou tout savoir sur ton anatomie
Sur ton cousin Teki et vos accessoires fetiches

Cuizi cest quoi ta position favorite
Tes performances olympiques
Mais tu nas rien dorgasmique

Tu es tout nu sous ton tablier
Pret à degainer
Mais je tavoue rien ny fait

Tu rêves dun Hummer fluo
Dessiné par Akroe
Mais tu nas pas le permis
Tu prends toujours le métro

",137,4.343065693430657
Adema,Rip The Heart Out Of Me,0,angry,"I woke up this morning and knew
That the world would test me
Come unglued
Is it me or do you feel my pain
This world makes my blood boil again

You rip the heart out of me
Rip the heart of me
Youre making what he said
You rip the heart out of me
Rip the heart of me
Control and deceive me
",64,3.5
The Romantics,When I Look In Your Eyes,1,happy,"When I look in your eyes
I get a feeling that I cant describe
It cant be wrong
No no
Not when a feelins comin on this strong

Now Im wonderin why
I feel so good inside
When I look in your eyes

",43,3.4651162790697674
Murderdolls,Dead in Hollywood,0,angry,"Hey frankenstein whats on your mind
Hey dracula I heard you suck
Now vincent price was dr phibes
Come steal my brain fritz
And take it to dr frankenstein

Well you can knock on ed wood
But it wont do you no good
No no no no no good
Cause all of my heroes are dead in hollywood
Hey norman bates how are your rates
Hey leatherface remove my face
Hey tall man just take my hand
And lead me to
Your red planet
",84,3.8214285714285716
Devo,(I Can't Get No) Satisfaction,0,angry,"I cant get no satisfaction
I cant get me no satisfaction
And I try and I try and I try tttry try
I cant get no I cant get me no

When Im riding in my car
And a man comes on the radio
Hes tellin me more and more
About some useless information
Supposed to fire my imagination

I cant get no no no no
Hey hey hey thats what I say
I cant get no satisfaction
I cant get me no girly action
And I try and I try and I try tttry try
I cant get no I cant get me no
",105,3.3142857142857145
Exploited,Exploited Barmy Army,0,angry,"Were the exploited barmy army dont threaten us

EXPLOITED

Dont mess with the barmy army
",15,4.8
Midge Ure,Somebody,3,sad,"Somebody
Somebody to lay your head on

Ive been around the world
To look for love from many souls
But at the wrong time
Searching for these vague elusive things
To keep and save
To ease my sad sad mind

And I can belong
I can be anything I need
If only I had known
Id face this world alone

CHORUS
",61,3.8360655737704916
Qntal,Remember Me,3,sad,"Remember me

When I am laid
",6,3.5
Bob Dylan,Gotta Serve Somebody,2,relaxed,"You may be an ambassador to England or France
You may like to gamble you might like to dance
You may be the heavyweight champion of the world
You might be a socialite with a long string of pearls

But youre gonna have to serve somebody yes indeed
Youre gonna have to serve somebody
Well it may be the Devil or it may be the Lord
But youre gonna have to serve somebody

Might be a rock n roll addict prancing on the stage
You might have drugs at your command women in a cage
You may be a businessman or some highdegree thief
They may call you doctor or they may call you chief

But youre gonna have to serve somebody yes you are
Youre gonna have to serve somebody serve somebody
Well it may be the Devil or it may be the Lord
But youre gonna have to serve somebody serve somebody

You may be a state trooper you might be a young Turk
You may be the head of some big TV network
You may be rich or poor you may be blind or lame
You may be livin in another country under another name
",198,3.9292929292929295
Clawfinger,Nothing Going On,0,angry,"Ive been around the world
Ive got a hit in the charts
Ive become quite famous
But I aint got no heart
Ive got expensive clothes
And lots of money to waste
Ive got the luxury lifestyle
But I aint got no taste

Nothing going on nothing going on
Ive got a whole lot of nothing
Nothing going on
Nothing going on nothing going on
Ive got a whole lot of nothing
Nothing going on

I know all the right people
Ive got the perfect smile
Ive got the worlds best timing
But I aint got no style
Ive got a great big mansion
Ive got a beautiful wife
",109,3.8990825688073394
Blue Six,Sweeter Love,2,relaxed,"Therell come a time when you know just what you feel
Im dancing inside that you know just what is real
Here in the sound theres a magic in the air
Youve got to let it out let it show you really care

Sweet sweet sweet love
I need your sweet sweet love

If its alright there is something here to dream
",62,3.8225806451612905
Spiritualized,Let It Flow,2,relaxed,"Here it comes and then it goes
And that feeling takes me home
And I dont know where Im goin let it flow

All I wanted was a taste
Just enough to waste the day
Just enough to make me sick let it flow

And it takes up all my time
And it lays me back a while
Makes me feel like Im a child
Let it flow let it flow
",71,3.3380281690140845
Alexisonfire,You Burn First,0,angry,"I said Cover me if there is a fire
Cause I want you to burn first
She screamed at me I want to be desired
I said Easy girl I know it hurts

Lets all give thanks that I am a liar
Cause Ive got a feeling I just might get worse
Now theres nothing wrong with you
Im just tired
",61,3.459016393442623
Ice Cube,Dirty Mack,0,angry,"Theres a new girl on my street
and i might introduce her to mack me
told my homeboy i was scoping hoping
to crack them legs wide open
ready to break that banging ass
get it with the shad
take a bath in her mouth yeah
better keep the trojan
and if the sex was good still be the whole frame
fucked around and told my plan to the man
sitting next to the god damn men
how was i to know son
that the nigg blow with one and told the 411
with a big fat grand
talking bout all the whores that i ran up in
broke a nigga plan like dishes
cuz now the bitch is getting suspicious
she know i fuck whores outa habit
who framed cube mothafuck roger rabbit
cuz i couldnt have and got stabbed in the back
by a black ass dirty mack
Chorus
And if you didnt know its like that
i got a big fat gat for the dirty mack
",169,3.710059171597633
Beastie Boys,Time for Livin',0,angry,"Yeah thats right
Its time to set the record straight

Aint nobody got to spell it for me
I said aint nobody got to yell I can see
I said aint nobody got the pain I can hear
But if I have to Ill yell in your ear

Time for livin time for givin
Time for livin time for givin
",60,3.5
